Code,2002,2005,2010
AFG,13000.00,15000.00,21000.00
AGO,26000.00,28000.00,37000.00
ALB,55000.00,55000.00,52000.00
ARE,67000.00,68000.00,72000.00
ARG,66000.00,69000.00,71000.00
ARM,53000.00,53000.00,53000.00
ATG,54000.00,56000.00,62000.00
AUS,65000.00,67000.00,66000.00
AUT,56000.00,57000.00,55000.00
AZE,57000.00,57000.00,57000.00
BDI,12000.00,13000.00,21000.00
BEL,45000.00,46000.00,43000.00
BEN,24000.00,29000.00,44000.00
BFA,13000.00,14000.00,19000.00
BGD,5000.00,6000.00,7000.00
BGR,54000.00,54000.00,46000.00
BHR,63000.00,64000.00,70000.00
BHS,59000.00,60000.00,66000.00
BIH,54000.00,54000.00,51000.00
BLR,67000.00,67000.00,70000.00
BLZ,48000.00,50000.00,58000.00
BOL,58000.00,62000.00,73000.00
BRA,46000.00,50000.00,60000.00
BRB,67000.00,70000.00,83000.00
BRN,59000.00,60000.00,65000.00
BTN,39000.00,41000.00,50000.00
BWA,41000.00,44000.00,54000.00
CAF,12000.00,13000.00,20000.00
CAN,60000.00,61000.00,60000.00
CHE,53000.00,55000.00,59000.00
CHL,62000.00,65000.00,73000.00
CHN,25000.00,29000.00,32000.00
CIV,21000.00,23000.00,36000.00
CMR,37000.00,40000.00,46000.00
COG,18000.00,19000.00,27000.00
COL,54000.00,56000.00,61000.00
COM,25000.00,28000.00,41000.00
CPV,36000.00,38000.00,48000.00
CRI,53000.00,56000.00,64000.00
CUB,56000.00,60000.00,67000.00
CYP,55000.00,56000.00,63000.00
CZE,52000.00,53000.00,49000.00
DEU,59000.00,60000.00,57000.00
DJI,23000.00,25000.00,34000.00
DNK,44000.00,46000.00,41000.00
DOM,53000.00,56000.00,72000.00
DZA,38000.00,40000.00,49000.00
ECU,46000.00,47000.00,55000.00
EGY,67000.00,69000.00,76000.00
ERI,4000.00,4000.00,6000.00
ESP,51000.00,52000.00,50000.00
EST,42000.00,42000.00,34000.00
ETH,5000.00,6000.00,4000.00
FIN,58000.00,59000.00,54000.00
FJI,53000.00,55000.00,69000.00
FRA,39000.00,40000.00,37000.00
FSM,91000.00,91000.00,91000.00
GAB,34000.00,37000.00,52000.00
GBR,61000.00,64000.00,64000.00
GEO,43000.00,45000.00,54000.00
GHA,27000.00,29000.00,33000.00
GIN,21000.00,23000.00,35000.00
GMB,15000.00,17000.00,27000.00
GNB,15000.00,17000.00,25000.00
GNQ,41000.00,43000.00,52000.00
GRC,67000.00,68000.00,63000.00
GRD,52000.00,53000.00,60000.00
GTM,57000.00,61000.00,71000.00
GUY,46000.00,47000.00,56000.00
HND,42000.00,44000.00,52000.00
HRV,52000.00,54000.00,48000.00
HTI,27000.00,33000.00,58000.00
HUN,51000.00,51000.00,47000.00
IDN,15000.00,16000.00,27000.00
IND,14000.00,16000.00,18000.00
IRL,45000.00,47000.00,44000.00
IRN,51000.00,53000.00,60000.00
IRQ,44000.00,45000.00,54000.00
ISL,59000.00,60000.00,64000.00
ISR,56000.00,57000.00,59000.00
ITA,45000.00,45000.00,40000.00
JAM,54000.00,58000.00,79000.00
JOR,62000.00,60000.00,65000.00
JPN,22000.00,22000.00,16000.00
KAZ,43000.00,41000.00,39000.00
KEN,14000.00,14000.00,23000.00
KGZ,39000.00,39000.00,44000.00
KHM,8000.00,11000.00,14000.00
KIR,72000.00,74000.00,77000.00
KOR,35000.00,42000.00,51000.00
KWT,72000.00,73000.00,80000.00
LAO,37000.00,39000.00,49000.00
LBN,52000.00,53000.00,57000.00
LBR,34000.00,36000.00,45000.00
LBY,52000.00,53000.00,60000.00
LCA,54000.00,58000.00,74000.00
LKA,7000.00,7000.00,8000.00
LSO,48000.00,49000.00,71000.00
LTU,52000.00,52000.00,44000.00
LUX,53000.00,54000.00,56000.00
LVA,47000.00,47000.00,45000.00
MAR,42000.00,43000.00,58000.00
MDA,40000.00,41000.00,51000.00
MDG,16000.00,17000.00,24000.00
MDV,38000.00,40000.00,51000.00
MEX,65000.00,68000.00,73000.00
MKD,47000.00,47000.00,57000.00
MLI,19000.00,24000.00,38000.00
MLT,68000.00,69000.00,68000.00
MMR,35000.00,36000.00,47000.00
MNG,56000.00,61000.00,74000.00
MOZ,17000.00,18000.00,27000.00
MRT,40000.00,42000.00,59000.00
MUS,43000.00,46000.00,57000.00
MWI,18000.00,19000.00,25000.00
MYS,28000.00,30000.00,42000.00
NAM,22000.00,23000.00,34000.00
NER,16000.00,18000.00,25000.00
NGA,25000.00,27000.00,37000.00
NIC,56000.00,61000.00,73000.00
NLD,45000.00,46000.00,46000.00
NOR,48000.00,49000.00,46000.00
NPL,8000.00,8000.00,10000.00
NZL,65000.00,68000.00,74000.00
OMN,45000.00,45000.00,51000.00
PAK,20000.00,22000.00,29000.00
PAN,50000.00,51000.00,59000.00
PER,57000.00,60000.00,70000.00
PHL,24000.00,25000.00,34000.00
PNG,28000.00,30000.00,34000.00
POL,47000.00,47000.00,44000.00
PRK,38000.00,40000.00,50000.00
PRT,51000.00,54000.00,51000.00
PRY,46000.00,48000.00,56000.00
