Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
AFG,,,,,,,,,,,,,,,,,,,,,,
ALB,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DZA,,5200,5200,5500,6000,6400,6500,6500,6300,6100,5800,5500,5200,5000,5000,5000,5000,5000,5000,5000,5000,5000
ASM,,,,,,,,,,,,,,,,,,,,,,
ADO,,,,,,,,,,,,,,,,,,,,,,
AGO,,63900,64100,61800,59100,56400,54500,52600,50800,49100,47500,45600,43400,40600,37600,35100,33300,32100,30700,29200,28000,27400
ATG,,18500,22500,27500,31700,33700,34600,35100,36400,38600,41700,43600,42400,38300,32900,29000,26400,24800,22800,21100,20000,20500
ARB,,11361.69914,11029.58267,10909.90029,10834.32391,10709.98709,10679.65478,10732.96485,10812.34328,10798.25702,10647.29698,10421.96136,10270.48338,10292.17144,10421.69734,10581.58016,10699.15564,10885.60133,11153.87971,11433.68513,11663.72051,11782.49469
ARG,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
ARM,,22800,24200,23600,22400,21300,20600,20500,20700,20600,19000,16100,12500,9400,7100,5400,5000,5000,5000,5000,5000,5000
ABW,,,,,,,,,,,,,,,,,,,,,,
AUS,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
AUT,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
AZE,,23000,17800,20200,23300,26300,28000,28000,25100,20300,14700,10400,7200,5000,5000,5000,5000,5000,5000,5000,5000,5000
BHS,,11300,14000,14000,12300,10600,9100,8200,7000,6300,6000,6300,6800,7300,7600,7900,7900,7800,7400,7100,7000,7200
BHR,,,,,,,,,,,,,,,,,,,,,,
BGD,,34600,36100,37800,38000,36300,33200,29000,24700,20700,18400,17000,16400,15700,15300,15100,15400,15500,16100,16500,17100,16800
BRB,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5500,5300,5000,5000,5000,5000,5000,5000,5000
BLR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
BEL,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
BLZ,,9200,8600,9000,9500,9900,10000,10000,9600,8800,8000,7200,6800,6500,6500,6700,7000,7400,7500,7400,7100,6800
BEN,,22400,21500,20700,19600,18700,18200,17900,17800,17400,16400,15200,14200,13800,13400,13100,12600,11800,10800,9600,8700,8100
BMU,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
BTN,,,,,,,,,,,,,,,,,,,,,,
BOL,,34600,32400,31900,30300,30700,31300,32500,31600,30200,28700,28500,28800,29300,29300,29100,28900,28600,27500,26100,24800,24100
BIH,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
BWA,,27400,29300,29100,28800,29300,31500,33900,34900,35100,34500,34200,33400,32700,32600,32900,33200,32800,31900,30300,29000,27900
BRA,,14900,14300,14000,13800,13500,13400,13200,13000,12800,12100,11100,10000,9200,8900,8700,8400,8000,7800,7500,7200,6900
BRN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
BGR,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
BFA,,22900,20600,19200,18400,18600,19300,20800,22800,24900,26400,27000,27200,26900,26400,25800,25300,24900,24400,24200,24500,25900
BDI,,49000,52700,56200,57900,58400,58800,60200,61800,62800,63000,63200,63800,64900,66300,67900,69600,71400,72400,72900,73100,73400
KHM,,39900,37200,35600,35900,37700,40400,41300,39500,36500,33800,32800,32500,31800,30200,27400,24800,22900,21700,20500,18900,17100
CMR,,38700,38700,38900,38600,37300,35400,34000,32600,31300,29100,26800,24600,22800,21300,19500,18100,16500,15600,14900,15100,15700
CAN,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
CPV,,12200,11400,12100,13700,15600,15900,15800,15600,16400,16700,16100,14400,12900,11900,11300,10900,10500,10500,10200,10100,8900
CSS,,12245.09883,12135.11046,11948.19586,11635.94352,11327.55904,11103.38732,10863.89181,10618.69665,10260.86985,9998.832768,10000.21602,10092.71216,10161.45355,9999.251345,9828.745565,9669.008133,9522.218422,9271.021781,9009.803095,8776.265929,8680.729739
CYM,,,,,,,,,,,,,,,,,,,,,,
CAF,,49500,50700,51400,51500,50600,49300,47700,46700,45600,45100,44700,44600,43900,42600,40600,37700,35100,32600,31300,30200,30000
TCD,,61100,57000,54200,53400,50500,47500,43700,42000,41700,41000,40100,38500,37800,37200,37300,37800,37500,36400,34400,33300,33400
CHI,,,,,,,,,,,,,,,,,,,,,,
CHL,,8100,6600,6000,5800,5600,5500,5300,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
CHN,,21400,20300,18300,16800,15900,15400,15000,14800,14600,14400,14300,14200,14000,13600,13100,12600,12000,11600,11500,11500,11500
COL,,19100,17300,16100,15100,14700,14400,14200,13600,13200,13000,13100,13200,13400,13600,13600,13300,12800,12500,12400,12400,12600
COM,,43500,45200,46900,47200,49100,53000,58900,63500,65900,64800,62300,59900,58900,58400,58100,58500,60100,62600,65400,67800,70000
ZAR,,,,,,,,,,,,,,,,,,,,,,
COG,,42800,43400,44300,45000,44700,43000,40000,36300,32700,30100,28700,29200,30200,32100,32900,33600,34000,34600,35700,36300,37400
CRI,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5000,5000,5000,5000,5200,5800,6500
CIV,,13700,14100,14800,14800,14000,13500,14000,15900,17900,19900,21300,21800,21500,20500,19600,19100,19000,19300,19700,20200,21400
HRV,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
CUB,,11500,17600,19900,19300,16100,12000,8000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
CUW,,,,,,,,,,,,,,,,,,,,,,
CYP,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
CZE,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DNK,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DJI,,68000,67300,63900,60400,58100,55800,53300,50900,48700,47100,45200,43100,40200,36400,32600,28900,26300,24000,22200,20600,19800
DMA,,5000,5200,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
DOM,,30400,26600,25200,24900,25700,26200,25900,24300,22500,21600,21900,22600,22200,20600,18600,17100,16400,15900,15600,15400,15400
EAS,,21339.77426,21602.87792,19689.3954,18229.96765,17335.80303,16873.7152,16515.51634,16260.29163,16011.56346,14911.24592,15490.16508,15216.29565,14839.57728,14365.04407,13110.69352,13183.49342,12548.79212,11533.18781,11715.32618,11467.89215,10815.87975
EAP,,23292.71449,22062.56765,20094.44215,18593.3975,17675.343,17199.78833,16831.03286,16567.60111,16311.08909,16025.4689,15774.60955,15492.42932,15104.59277,14616.17927,13999.68111,13401.0265,12748.96959,12240.06884,11893.18057,11638.81731,11438.34256
ECU,,24500,23500,21000,19700,18500,17800,18000,18600,19900,20900,21600,22000,21900,21700,21400,21000,20300,19600,19000,18500,18300
EGY,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
SLV,,15600,14600,14800,14600,14200,13900,13300,12200,10500,9200,8800,9300,9900,10400,10600,10800,11000,11300,11600,11900,12300
GNQ,,,,,,,,,,,,,,,,,,,,,,
ERI,,72400,77700,75100,73000,71800,71900,73200,74800,76200,76200,76100,75600,75600,75100,74800,73500,71800,69100,67000,65600,65400
EST,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
ETH,,68000,73700,72500,70200,67200,64000,61500,59400,57400,55300,53500,52200,50900,49400,47700,46300,45200,43800,42400,41000,40200
EMU,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
ECS,,5796.844216,,,,,,,,,5899.381806,,,,,5527.710606,,,5497.620235,,,5377.253755
ECA,,7782.742881,,,,,,,,,8105.805682,,,,,6818.290901,,,6670.056597,,,6255.325635
EUU,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
FRO,,,,,,,,,,,,,,,,,,,,,,
FJI,,6200,5900,6000,6000,5700,5300,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
FIN,,5000,,,,,,,,,5000,,,,,5000,,,5000,,,5000
FRA,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
PYF,,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
